abatre
abscondre
absoudre
abstraire
accroitre
accroître
acroistre
adjoindre
antendre
apparaitre
appendre
apprendre
aprandre
aprendre
aquerre
ardre
ascendre
astreindre
ataindre
atandre
ateindre
atendre
atraire
atreire
atteindre
attendre
autodétruire
autodissoudre
batre
battre
beivre
beneistre
boire
boivre
braire
bruire
ceindre
circoncire
circonscrire
clore
coécrire
combattre
commettre
comparaitre
comparaître
complaire
compleindre
comprehendre
comprendre
compromettre
conbatre
conclure
condescendre
conduire
confire
confondre
conjoindre
connaitre
connaître
connoistre
connoître
conoistre
conplaindre
conquerre
consivre
construire
consuire
contraindre
contrebattre
contredire
contrefaire
convaincre
coproduire
corre
correspondre
corrompre
cosdre
coudre
countrefaire
craindre
creindre
creistre
crestre
croire
croitre
croître
cueudre
cumbatre
cunduire
cunfundre
cunquere
cunquerre
cuntredire
curre
débattre
déclore
deçoivre
déconfire
déconstruire
découdre
décrire
décroitre
décroître
décuire
dédire
déduire
défaire
défendre
defendre
démettre
démordre
dépeindre
dépendre
déplaire
déprendre
derumpre
désapprendre
desçandre
descendre
descreistre
descrire
descrivre
desfaire
desfandre
desfendre
desfere
désinscrire
desjoindre
desmettre
despire
desplere
destraindre
déteindre
détendre
détordre
détruire
dire
disjoindre
disparaitre
disparaître
dissoudre
distendre
distordre
distraire
ébattre
éclore
éconduire
écrire
élire
ellire
émettre
émoudre
empreindre
emprendre
enceindre
enclore
encreistre
encroistre
enduire
enfreindre
enjoindre
enoindre
ensuivre
entrecombatre
entrefaire
entremetre
entremettre
entreprendre
entrocire
épandre
éperdre
éprendre
esbatre
escondire
escrivre
escundire
espaundre
espondre
espundre
estaindre
estandre
estraindre
estraire
estre
estreindre
éteindre
étreindre
exclure
extraire
faindre
feindre
fendre
fere
fondre
forclore
forfaire
foutre
fraindre
freindre
frire
inclure
induire
inscrire
instruire
interdire
interrompre
introduire
joindre
kerre
luire
maindre
malfaire
maudire
méconnaitre
méconnaître
mécroire
mectre
médire
méfaire
méprendre
mescroire
mesfaire
mesprendre
metre
moldre
mordre
morfondre
moudre
naitre
nuire
occlure
ocire
oindre
omettre
paistre
paitre
paraitre
paraître
parfaire
peindre
pendre
perceivre
perdre
permettre
plaindre
plaire
plere
poindre
pondre
porprendre
pourfendre
poursuivre
prædire
prætendre
prédire
prescrire
prétendre
produire
prometre
promettre
proscrire
querre
rabattre
raembre
raiembre
réadmettre
réapparaitre
réapparaître
réapprendre
rebattre
reboire
reclore
reçoivre
recomparaitre
recomparaître
reconduire
reconnaitre
reconnaître
reconnoître
reconstruire
recoudre
récrire
recroire
recroitre
recroître
recuire
redescendre
redire
réduire
réécrire
réélire
réémettre
réentendre
refaire
refondre
réintroduire
rejoindre
relire
reluire
remaindre
remetre
remettre
remordre
remoudre
renaistre
renaitre
renaître
rendre
renestre
repaitre
repaître
répandre
reparaitre
reparaître
repeindre
rependre
répondre
reprendre
reproduire
requerre
résoudre
restreindre
reteindre
retendre
retordre
retraduire
retraire
retranscrire
retransmettre
revendre
revivre
rompre
ronpre
rumpre
satisfaire
secorre
séduire
semondre
siure
socore
somondre
somoundre
sorprendre
soumectre
soumettre
sourire
souscrire
sous-entendre
sous-tendre
soustraire
suffire
suivre
surconduire
surcuire
surprendre
surproduire
survivre
suspendre
taire
teindre
tondre
tordre
traduire
traire
traluire
transclure
transcrire
transmettre
transparaitre
transparaître
treire
vaincre
vaintre
veincre
veintre
vendre
vivre
