abasourdir
abâtardir
abaubir
abelir
abêtir
abolir
abonnir
aboutir
abréagir
abroutir
abrutir
abstenir
accalmir
accomplir
accourcir
accourir
accroupir
accueillir
acoardir
acoillir
acomplir
acquérir
adolcir
adormir
adoucir
advenir
afeblir
aferir
affadir
affaiblir
affermir
affranchir
agir
agonir
agrandir
aguerrir
ahurir
aigrir
alanguir
alentir
allotir
alourdir
alunir
amaigrir
amarsir
amatir
amenuir
amerrir
ameublir
amincir
amoindrir
amollir
amortir
anéantir
anhardir
anoblir
anordir
anpalir
antrehair
antresavoir
apalir
apareir
aparir
aparoir
apatir
apercevoir
aplanir
appartenir
appauvrir
appesantir
applaudir
approfondir
ardeir
arrondir
asaillir
assagir
assaillir
assainir
assalir
assaveir
asseoir
asservir
assombrir
assortir
assoupir
assouplir
assourdir
assouvir
assujettir
astenir
attendrir
attenir
attérir
atterrir
attiédir
avachir
aveir
avertir
aveulir
avilir
avoir
barrir
bâtir
beneir
bénir
bienvenir
blanchir
blêmir
blettir
bleuir
blondir
blottir
boillir
bolir
bondir
bouffir
bouillir
brandir
brunir
caeir
candir
chaleir
chauvir
cheir
chérir
choir
choisir
circonvenir
codétenir
coillir
compatir
concevoir
concourir
conjoir
conquérir
consentir
contenir
contretenir
contrevenir
convenir
convertir
corir
cosaisir
cotir
courir
couvenir
couvrir
covenir
covrir
cremir
crépir
croupir
cueillir
cunsentir
cuntenir
cuvrir
décevoir
déchoir
découvrir
décrépir
défaillir
définir
défléchir
défraîchir
dégarnir
dégauchir
déglutir
dégourdir
dégrossir
déguerpir
démentir
démolir
démunir
dépérir
dépourvoir
dérougir
descovrir
descuvrir
désemplir
deservir
désinvestir
désobéir
dessaisir
dessertir
desservir
désunir
détenir
deveir
devenir
dévêtir
devoir
disconvenir
discourir
divertir
dormir
douloir
durcir
ébahir
ébaubir
ébaudir
éblouir
échoir
éclaircir
écrapoutir
eissir
élargir
embellir
emboutir
émouvoir
emplir
empuantir
enchérir
encourir
endormir
endurcir
enfouir
englotir
engloutir
engourdir
enhardir
enlaidir
ennoblir
enorgueillir
enquérir
enrichir
ensevelir
entrapercevoir
entreferir
entretenir
entreveoir
entrevoir
entrouvrir
envahir
envair
épaissir
équarrir
équivaloir
escheoir
esclarcir
esjoir
esmoveir
esmovoir
estormir
estourbir
estovoir
esvanir
établir
étourdir
étrécir
faiblir
falir
falloir
farcir
fenir
férir
flatir
fléchir
flechir
fleurir
florir
flourir
flurir
forbir
forcir
fornir
fouir
fourbir
fournir
fraîchir
franchir
frémir
froidir
fuir
furnir
ganchir
garantir
garnir
gauchir
gaudir
gémir
gésir
gisir
glapir
glotir
grandir
gravir
grossir
guarantir
guarir
guérir
guerpir
hair
hardir
hennir
honnir
impartir
infléchir
interagir
interconvertir
intervenir
intervertir
invertir
investir
jaillir
jaunir
joir
jouir
laidir
languir
leisir
lotir
luisir
maigrir
maintenir
maneir
mentir
meurtrir
mincir
moisir
mollir
morir
mouvoir
moveir
movoir
mugir
munir
murir
mûrir
muveir
nantir
noircir
nourrir
obéir
obscurcir
obtenir
obvenir
offrir
ofrir
oir
ourdir
ouvrir
pâlir
parboillir
parbolir
parbouillir
parcourir
partir
parvenir
pâtir
percevoir
périr
pervertir
pétrir
pleuvoir
plovoir
poeir
polir
poroffrir
pourrir
pourvoir
præmunir
prédéfinir
prémunir
pressentir
prévaloir
prévenir
preveoir
prévoir
promouvoir
provenir
punir
quérir
raccourcir
racornir
radoucir
raffermir
rafraichir
rafraîchir
ragaillardir
raidir
rajeunir
ralentir
ramollir
rancir
rasseoir
rassir
rassortir
ravir
réagir
réassortir
rebâtir
rebondir
rebouillir
recevoir
recoillir
reconquérir
reconvertir
recourir
recouvrir
recueillir
redécouvrir
redéfinir
redevenir
redevoir
redormir
réenchérir
réfléchir
refleurir
refroidir
regarnir
régir
réinvestir
rejaillir
réjouir
reluisir
remanoir
rembrunir
removoir
remplir
renchérir
rendormir
renforcir
réouvrir
répartir
repentir
repercevoir
repétrir
repleuvoir
repunir
requérir
resjoir
resplendir
ressaisir
ressentir
resservir
ressouvenir
ressurgir
resurgir
rétablir
retenir
retentir
rétrécir
réunir
réussir
revenir
reveoir
reverdir
revernir
revêtir
revoir
revouloir
roidir
rosir
rôtir
rougir
roussir
rouvrir
rugir
saisir
salir
santir
saurir
saveir
savir
savoir
secourir
s'enfuir
sentir
seoir
sertir
servir
sévir
sofrir
sortir
souffrir
soutenir
subir
subvenir
subvertir
surenchérir
surgir
surinvestir
surseoir
survenir
survêtir
taisir
tarir
ternir
tiédir
trahir
transgloutir
transir
travestir
tressaillir
vagir
valeir
valoir
vedeir
veeir
veir
vëoir
verdir
vernir
vestir
vêtir
vieillir
voleir
voloir
vomir
vouloir
vrombir
y avoir
