verbs
aanchrer
abader
abaïer
abaier
abaisser
abaissier
abaler
abaliéner
abaloger
abandoner
abandonner
abandouner
abâteler
abayer
abboyer
abcéder
abdiquer
abeer
abeilardiser
abélianiser
abéliser
abérier
aberrer
abeurver
abhorrer
abimer
abîmer
abisser
abiurer
abjurer
ablater
abluer
ablutionner
aboivrer
aboler
abominer
abonder
abonner
aborder
aborner
aboscher
aboucher
abouler
abouter
aboyer
abraser
abréger
abreuver
abrévier
abricoter
abrier
abriter
abroger
absconder
absconser
absenter
absolutiser
absorber
abuser
académiser
acagnarder
acater
accabler
accaparer
accastiller
accéder
accélérer
accentuer
accepter
accessoiriser
accidenter
acclamer
acclimater
accointer
accoler
accommoder
accompagner
accompaigner
accorder
accorer
accoster
accoter
accoucher
accouder
accouer
accoustumer
accoutrer
accoutumer
accréditer
acculer
acculturer
accumuler
accuser
acepter
acérer
acertener
acesmer
acétaliser
acétifier
acétyler
achapter
achater
acheminer
acherchier
acheter
achever
achopper
achromatiser
acidifier
aciduler
aciérer
acointier
acoler
acompaignier
aconpaignier
aconter
acopler
acoquiner
acorder
acoster
acouchier
acounter
acoupler
acoustrer
acoustumer
acquiescer
acquiter
acquitter
acter
actionner
activer
actualiser
acuinter
acunter
acupler
acuser
acyler
adamagier
adapter
additionner
adeser
adestrer
adhærer
adhérer
adiouster
adirer
adjectiver
adjuger
adjurer
administrer
admirer
admonester
adober
adoniser
adonner
adopter
adorer
adosser
adouber
adrecier
adresser
adsorber
aduber
aduler
adultérer
aduster
advancer
adviser
advouer
ædifier
aencrer
aérer
aerer
æstimer
afamer
affabuler
affacturer
affairer
affaisser
affaiter
affaler
affamer
afféager
affecter
affectionner
affener
affermer
afficher
affier
affiler
affilier
affiner
affirmer
affixer
affleurer
affliger
afflouer
affluer
affoler
affouiller
affourager
affourcher
affréter
affriander
affrioler
affriquer
affriter
affronter
affruiter
affubler
affurer
affuter
affûter
afichier
afier
afistoler
afoler
afrayer
africaniser
afroier
afubler
agacer
agaitier
agatiser
agencer
agenoiller
agenoillier
agenouiller
agglomérer
agglutiner
aggraver
agioter
agiter
agoniser
agrafer
agreer
agréger
agrémenter
agresser
agriffer
agripper
aguicher
aguisier
aguyser
ahaner
aicher
aider
aidier
aiguiller
aiguilleter
aiguillonner
aiguiser
ailler
aimanter
aimer
airer
aisier
ajointer
ajoster
ajourer
ajourner
ajouter
ajuster
alaitier
alambiquer
alarmer
alcalifier
alcaliniser
alcooliser
alegier
aler
alerter
aléser
aleviner
aliéner
alier
alimenter
aliter
alkyler
allaicter
allaiter
allécher
alléger
allégoriser
alléguer
aller
alléser
allier
allonger
allouer
allumer
alluvionner
alonger
aloser
alpaguer
alphabétiser
altérer
alterer
alterner
alumer
aluminer
aluner
alurer
amadouer
amalgamer
amariner
amarrer
amasser
ambiancer
ambitionner
ambler
ambrer
ambuler
améliorer
amener
amenuiser
amercier
américaniser
ameuter
amidonner
amnistier
amocher
amodier
amonester
amonter
amorcer
amordancer
amouracher
amplifier
amputer
amurer
amuser
analyser
anastomoser
anathématiser
anatomiser
ancontrer
ancrer
ancumbrer
ancuser
andoctriner
andurer
anémier
anesthésier
anfrainner
angarier
angenrer
anglaiser
angliciser
angoisser
angoissier
anhéler
animaliser
animer
aniser
ankyloser
anluminer
anneler
annexer
annihiler
annoncer
annoter
annuler
anodiser
anoncier
ânonner
anonymiser
anprisoner
anraciner
ansanglanter
anseler
anser
anserrer
antéposer
anterrer
anthropiser
anticiper
antidater
antredoner
antrer
antrespargnier
anuier
anuiter
anuitier
anuller
anuncier
anvoier
aorer
aorner
aourer
aoûter
apaier
apaiier
apaiser
